Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1679011200000,2023-03-17,1INCHBTC,1.974e-05,1.977e-05,1.852e-05,1.932e-05,654116.0,12.55916062,3071
1678924800000,2023-03-16,1INCHBTC,2.011e-05,2.105e-05,1.965e-05,1.977e-05,17725320.2,362.22429934,13816
1678838400000,2023-03-15,1INCHBTC,2.134e-05,2.159e-05,1.997e-05,2.01e-05,589766.6,12.36619103,3867
1678752000000,2023-03-14,1INCHBTC,2.074e-05,2.137e-05,1.968e-05,2.132e-05,467358.8,9.62076795,2219
1678665600000,2023-03-13,1INCHBTC,2.152e-05,2.175e-05,2.031e-05,2.07e-05,468252.0,9.85342121,2791
1678579200000,2023-03-12,1INCHBTC,2.132e-05,2.168e-05,2.1e-05,2.15e-05,284569.9,6.06682933,2701
1678492800000,2023-03-11,1INCHBTC,2.211e-05,2.222e-05,2.085e-05,2.143e-05,337536.0,7.31100172,2531
1678406400000,2023-03-10,1INCHBTC,2.156e-05,2.228e-05,2.083e-05,2.22e-05,662628.0,14.29618718,3142
1678320000000,2023-03-09,1INCHBTC,2.178e-05,2.225e-05,2.086e-05,2.151e-05,372995.0,8.1359024,3494
1678233600000,2023-03-08,1INCHBTC,2.292e-05,2.293e-05,2.136e-05,2.175e-05,324107.4,7.22272266,3006
1678147200000,2023-03-07,1INCHBTC,2.344e-05,2.352e-05,2.243e-05,2.292e-05,397007.5,9.09416479,2376
1678060800000,2023-03-06,1INCHBTC,2.292e-05,2.366e-05,2.292e-05,2.34e-05,771180.3,18.0027122,2942
1677974400000,2023-03-05,1INCHBTC,2.317e-05,2.351e-05,2.28e-05,2.289e-05,301273.7,6.99609127,2359
1677888000000,2023-03-04,1INCHBTC,2.365e-05,2.378e-05,2.252e-05,2.316e-05,271229.3,6.29574639,2876
1677801600000,2023-03-03,1INCHBTC,2.408e-05,2.408e-05,2.259e-05,2.364e-05,466790.1,10.89277629,2873
1677715200000,2023-03-02,1INCHBTC,2.49e-05,2.49e-05,2.375e-05,2.406e-05,258478.5,6.20948807,1720
1677628800000,2023-03-01,1INCHBTC,2.47e-05,2.522e-05,2.455e-05,2.486e-05,478244.7,11.91369659,5954
1677542400000,2023-02-28,1INCHBTC,2.464e-05,2.494e-05,2.434e-05,2.465e-05,180356.4,4.4402141,1507
1677456000000,2023-02-27,1INCHBTC,2.476e-05,2.504e-05,2.42e-05,2.464e-05,462133.3,11.36208127,3048
1677369600000,2023-02-26,1INCHBTC,2.51e-05,2.577e-05,2.433e-05,2.473e-05,313277.2,7.83695251,3119
1677283200000,2023-02-25,1INCHBTC,2.59e-05,2.595e-05,2.473e-05,2.511e-05,254662.1,6.48118186,2253
1677196800000,2023-02-24,1INCHBTC,2.587e-05,2.61e-05,2.537e-05,2.592e-05,323018.3,8.32982507,2955
1677110400000,2023-02-23,1INCHBTC,2.656e-05,2.671e-05,2.548e-05,2.588e-05,415584.5,10.82737274,3847
1677024000000,2023-02-22,1INCHBTC,2.807e-05,2.807e-05,2.638e-05,2.653e-05,649955.4,17.55591484,6032
1676937600000,2023-02-21,1INCHBTC,2.473e-05,2.855e-05,2.42e-05,2.81e-05,2239142.1,59.75378327,15114
1676851200000,2023-02-20,1INCHBTC,2.367e-05,2.488e-05,2.358e-05,2.464e-05,670174.5,16.28536249,4740
1676764800000,2023-02-19,1INCHBTC,2.335e-05,2.433e-05,2.305e-05,2.368e-05,706110.7,16.6471372,4301
